1,Kane Williamson,New Zealand
2,Steven Smith,Australia
3,Joe Root,England
4,Daryl Mitchell,New Zealand
5,Babar Azam,Pakistan
6,Usman Khawaja,Australia
7,Virat Kohli,India
8,Harry Brook,England
9,Dimuth Karunaratne,Sri Lanka
10,Marnus Labuschagne,Australia
11,Travis Head,Australia
12,Rishabh Pant,India
13,Rohit Sharma,India
14,Saud Shakeel,Pakistan
15,Ben Stokes,England
